Galaxy S=Samsung,Phone
Galaxy S Mini=Samsung,Phone
Galaxy S Duos=Samsung,Phone
Galaxy S2=Samsung,Phone
Galaxy S2 mini=Samsung,Phone
Galaxy S3=Samsung,Phone
Galaxy S3 mini=Samsung,Phone
Galaxy S4=Samsung,Phone
Galaxy S4 mini=Samsung,Phone
Galaxy Ace=Samsung,Phone
Galaxy Ace 2=Samsung,Phone
Galaxy Core=Samsung,Phone
Galaxy Grand=Samsung,Phone
Galaxy Nexus=Samsung,Phone
Galaxy Win=Samsung,Phone
Galaxy Y=Samsung,Phone
Galaxy Tab=Samsung,Tablet
Galaxy Tab 2=Samsung,Tablet
Galaxy Tab 3=Samsung,Tablet
Galaxy Note=Samsung,Tablet
Galaxy Note 2=Samsung,Tablet
Galaxy Note 3=Samsung,Tablet
Nexus 10=Samsung,Tablet
One=HTC,Phone
One X=HTC,Phone
EVO 4G=HTC,Phone
Xperia=Sony,Phone
Xperia S=Sony,Phone
Xperia U=Sony,Phone
Xperia Z=Sony,Phone
Xperia Z1=Sony,Phone
Xperia Tablet=Sony,Tablet
Xperia ZL=Sony,Tablet
Tablet S=Sony,Tablet
Droid=Motorola,Phone
Droid RAZR=Motorola,Phone
Droid X=Motorola,Phone
Droid Ultra=Motorola,Phone
Moto=Motorola,Phone
XOOM=Motorola,Tablet
XOOM 2=Motorola,Tablet
PadFone=ASUS,Phone
PadFone 2=ASUS,Phone
MeMo=ASUS,Tablet
MeMo Pad=ASUS,Tablet
Transformer Pad=ASUS,Tablet
FonePad=ASUS,Tablet
Nexus=Google,Phone
Nexus 5=Google,Phone
Nexus 7=Google,Tablet
Nexus 10=Google,Tablet
iPhone=Apple,Phone
iPhone 4=Apple,Phone
iPhone 4s=Apple,Phone
iPhone 5=Apple,Phone
iPhone 5s=Apple,Phone
iPhone 5c=Apple,Phone
iPad=Apple,Tablet
iPad 2=Apple,Tablet
iPad 3=Apple,Tablet
iPad 4=Apple,Tablet
iPad Air=Apple,Tablet
iPad Mini=Apple,Tablet
Kindle Fire=Amazon,Tablet
Kindle Fire HD 7=Amazon,Tablet
Kindle Fire XD=Amazon,Tablet
Nook=Barnes & Noble,Tablet
Slate=HP,Tablet
Slate 7=HP,Tablet
Touchpad=HP,Tablet
Iconia=Acer,Tablet
Iconia Tab=Acer,Tablet
IdeaTab=Lenovo,Tablet
IdeaPad=Lenovo,Tablet
MediaPad=Huawei,Tablet
